Weight,Duration,HeartRate,ExerciseType,CaloriesBurned
95,106,174,Cycling,341.4
55,98,152,Gym,281.2
54,49,117,Gym,165.7
55,16,92,Running,118.2
79,60,170,Running,247.9
93,68,164,Walking,223.1
90,43,110,Running,196.9
77,31,88,Gym,146.9
58,119,147,Walking,317.4
67,14,98,Running,126.5
59,21,122,Walking,101.1
57,58,106,Walking,173.6
99,100,159,Gym,308.8
45,78,176,Running,267.3
69,31,145,Walking,148.6
60,102,83,Cycling,280.3
85,35,71,Cycling,159.1
68,108,174,Walking,307.4
55,24,70,Running,126.7
89,25,136,Cycling,148.2
70,11,119,Running,114.7
41,118,106,Cycling,307.1
58,16,161,Walking,118.5
80,91,155,Running,303.2
99,70,164,Walking,230.5
69,67,124,Walking,212.8
83,39,172,Running,209.3
40,43,133,Cycling,167.1
89,119,156,Running,353.2
58,75,154,Running,246.4
90,14,80,Gym,113.8
83,108,179,Cycling,339.3
82,20,83,Running,141.3
64,36,137,Running,179.1
73,70,116,Cycling,223.4
65,112,60,Running,309.5
91,28,168,Gym,166.6
52,98,153,Gym,274.7
50,97,173,Cycling,295.0
61,34,177,Gym,160.2
74,79,114,Cycling,251.4
67,34,113,Gym,149.6
70,46,153,Running,212.8
97,54,91,Walking,178.2
80,53,169,Cycling,223.4
77,119,131,Cycling,331.1
79,107,123,Cycling,320.2
83,82,61,Walking,216.9
44,118,159,Gym,319.8
67,49,102,Cycling,190.1
45,19,124,Walking,92.3
98,61,130,Cycling,222.5
85,72,133,Walking,233.1
53,120,168,Gym,338.5
44,45,60,Gym,143.3
59,66,76,Cycling,199.1
89,45,158,Gym,188.1
55,68,115,Cycling,218.2
94,44,138,Cycling,195.3
96,50,159,Running,223.9
78,86,120,Walking,245.2
90,36,139,Walking,163.1
76,112,137,Cycling,327.2
49,69,178,Cycling,234.9
46,22,87,Walking,96.6
42,90,72,Running,261.2
77,28,91,Gym,137.9
98,53,170,Cycling,220.0
89,85,132,Walking,246.6
54,108,84,Gym,292.7
45,104,89,Gym,274.6
78,103,92,Gym,295.3
56,77,169,Cycling,252.7
47,96,164,Gym,287.6
52,31,162,Cycling,162.4
56,84,61,Walking,221.5
95,16,97,Walking,113.3
82,22,98,Gym,129.9
85,36,96,Walking,144.0
55,36,124,Running,174.3
95,103,98,Running,311.8
71,114,177,Walking,314.2
89,18,122,Cycling,137.6
57,112,134,Walking,295.9
89,30,155,Gym,165.9
77,98,96,Walking,254.6
59,10,128,Walking,87.3
47,119,110,Running,317.1
88,60,134,Cycling,223.7
46,98,135,Walking,253.6
57,76,138,Running,244.8
83,20,93,Walking,116.7
64,27,152,Running,162.4
45,48,110,Walking,148.0
70,64,180,Walking,216.4
53,107,100,Cycling,295.9
69,42,107,Running,178.1
87,48,86,Cycling,194.5
57,57,114,Running,201.1
69,50,119,Running,199.4
93,92,133,Walking,271.3
92,13,133,Cycling,131.5
66,40,80,Walking,145.9
83,45,83,Running,181.2
65,116,92,Running,330.4
48,13,131,Running,123.9
82,112,105,Walking,304.1
53,68,89,Running,223.9
100,80,127,Cycling,258.9
86,43,115,Cycling,173.9
52,49,103,Running,180.7
52,106,129,Cycling,296.8
90,13,129,Gym,129.2
99,16,147,Running,164.8
83,12,172,Walking,110.9
86,29,168,Gym,157.5
87,65,109,Walking,211.1
66,69,106,Cycling,217.9
85,78,157,Running,272.1
57,85,84,Walking,220.6
87,94,163,Walking,284.9
76,58,130,Running,228.5
59,12,101,Running,118.5
52,111,109,Running,313.1
85,42,158,Running,197.5
45,119,118,Cycling,323.9
81,41,95,Walking,141.1
100,40,70,Cycling,177.9
54,28,100,Walking,116.5
61,58,130,Cycling,197.7
74,22,176,Cycling,160.8
68,16,70,Cycling,112.1
51,117,165,Cycling,323.7
70,102,180,Running,317.0
86,99,61,Walking,251.5
74,77,114,Walking,223.7
88,86,66,Running,257.1
49,70,105,Running,231.2
96,37,130,Gym,182.7
66,107,134,Gym,299.0
80,76,89,Running,252.6
60,97,176,Cycling,299.3
65,69,115,Walking,206.9
72,88,70,Running,268.0
87,98,139,Gym,301.9
95,51,76,Walking,171.7
98,17,148,Running,155.5
89,29,101,Gym,147.0
68,41,127,Gym,160.8
42,34,180,Cycling,164.9
47,61,67,Gym,173.0
94,13,64,Cycling,115.6
97,103,136,Running,333.2
83,21,147,Gym,149.6
72,106,119,Walking,292.9
66,74,180,Cycling,264.1
86,118,131,Walking,323.9
87,32,170,Cycling,178.0
90,36,128,Cycling,165.8
42,23,174,Cycling,141.1
90,56,147,Gym,216.5
81,98,175,Walking,291.5
68,36,125,Walking,143.4
97,55,60,Walking,174.0
73,53,70,Gym,180.3
42,38,126,Cycling,162.7
66,46,139,Running,189.6
52,111,143,Walking,299.5
53,33,123,Running,159.5
91,60,60,Running,217.1
99,116,62,Gym,311.3
50,108,140,Running,309.9
51,53,102,Running,188.4
53,104,94,Cycling,278.1
57,88,158,Gym,273.5
50,48,85,Walking,140.8
77,22,123,Cycling,132.4
65,29,163,Cycling,156.2
76,43,64,Gym,150.8
69,30,99,Walking,115.3
90,68,159,Gym,242.4
89,92,123,Running,298.7
66,118,88,Walking,296.5
69,75,127,Gym,238.9
86,88,151,Walking,258.8
94,111,142,Running,341.2
66,62,137,Cycling,214.2
53,58,168,Cycling,217.6
92,42,111,Cycling,180.8
80,19,101,Running,138.4
53,68,84,Cycling,215.1
70,56,116,Cycling,205.2
82,24,143,Gym,150.7
71,65,117,Gym,206.0
56,30,163,Cycling,163.5
83,58,162,Gym,220.0
52,52,154,Cycling,188.9
91,41,141,Running,203.7
66,59,129,Running,213.0
62,63,141,Cycling,229.3
74,50,81,Cycling,191.0
49,19,89,Walking,82.0
81,37,72,Gym,148.6
91,30,146,Gym,165.8
78,85,94,Gym,245.2
60,85,138,Walking,234.4
94,13,105,Cycling,114.9
100,108,79,Walking,283.1
79,36,130,Cycling,171.6
51,45,121,Running,181.4
