Temperature,Humidity,WindSpeed,Pressure,Rainfall
30,80,10,1000,120
25,60,5,1012,40
20,90,15,990,200
35,50,20,1020,10
28,70,12,1005,90
22,85,18,995,160
18,95,8,980,220
32,55,25,1015,30
27,75,14,1008,110
24,65,9,1010,60
31,82,11,1002,130
26,62,6,1011,45
21,92,16,988,210
34,48,22,1022,5
29,72,13,1006,95
23,86,19,996,170
19,94,7,982,230
33,56,24,1014,35
28,78,15,1009,115
25,68,10,1011,65
Temperature,Humidity,WindSpeed,Pressure,Rainfall
36.6,55.5,12.8,984.9,77.7
21.9,65.5,23.0,984.3,138.6
18.7,54.5,26.3,1013.6,101.6
33.8,41.9,20.3,1009.3,57.9
28.8,79.2,22.6,1001.2,152.4
20.7,51.9,12.5,1012.8,76.6
21.8,77.5,10.4,992.8,110.6
22.0,46.2,5.2,994.7,53.6
24.9,42.6,11.5,1000.9,86.2
16.0,97.8,5.7,1008.7,136.2
27.8,64.9,13.2,998.1,90.1
25.3,86.4,14.8,1003.9,124.5
33.8,47.3,18.2,1020.5,82.9
31.8,80.5,12.3,1010.5,118.7
38.7,53.1,9.6,992.5,49.8
27.2,73.4,21.4,1012.0,126.5
23.2,68.1,3.4,1001.8,71.5
38.7,84.8,8.1,1011.1,98.4
26.3,64.2,25.9,982.0,121.5
39.9,50.7,20.4,991.3,88.5
17.7,64.4,28.7,1002.1,124.1
35.3,80.1,6.3,1011.2,106.7
21.7,54.9,8.3,987.6,84.6
19.1,55.0,4.1,1004.1,56.1
33.8,97.3,5.0,1023.7,128.5
22.8,69.6,18.2,1015.5,136.5
24.5,78.8,27.6,1008.1,172.4
15.3,89.7,30.0,993.6,192.0
21.1,87.8,14.5,1005.3,158.8
37.8,44.6,28.2,1009.4,92.8
38.0,91.7,6.5,984.6,120.0
22.4,47.4,3.8,1001.1,77.0
34.6,74.8,27.5,992.2,130.1
19.2,53.1,6.0,982.5,92.6
24.9,43.1,3.5,1014.3,58.4
33.6,43.9,10.2,986.1,78.2
28.1,95.6,28.7,985.2,169.9
20.4,52.5,14.3,1022.9,91.2
24.2,62.9,23.7,981.2,115.3
33.1,97.3,2.0,999.7,118.0
21.4,60.0,15.7,1022.4,123.1
24.4,82.7,3.0,988.1,93.6
39.2,62.3,9.7,1021.7,84.1
29.6,94.8,21.7,1012.8,175.6
22.7,83.7,10.0,1002.0,108.1
28.5,91.3,6.5,987.8,114.2
15.0,53.8,6.6,1015.7,87.6
18.1,50.3,8.2,996.6,57.8
36.1,64.4,17.8,1007.8,110.4
26.4,64.2,17.6,1007.1,101.2
35.5,99.4,16.8,981.7,161.3
26.9,57.9,19.7,984.0,98.2
21.2,97.7,16.8,1021.9,162.6
28.6,41.3,7.8,1016.7,56.2
28.3,55.6,28.5,1008.5,123.8
35.5,97.7,29.6,983.6,167.8
36.8,42.6,19.7,994.2,55.2
30.1,65.4,19.6,995.4,101.3
22.8,71.8,27.8,988.7,142.8
27.9,43.5,21.2,993.7,90.2
